"StudentID","PermanentPincode","CityName","StateName"
"2019100001","566002","Bangalore","Karnataka"
"2019100060","561207","Bangalore","Karnataka"
"2019100061","562104","Bangalore","Karnataka"
"2019100062","563116","Bangalore","Karnataka"
"2019100063","561207","Bangalore","Karnataka"
"2019100064","560079","Bangalore","Karnataka"
"2019100065","561207","Bangalore","Karnataka"
"2019100066","560004","Bangalore","Karnataka"
"2019100067","560039","Bangalore","Karnataka"
"2019100068","576283","Bangalore","Karnataka"
"2019100069","561209","Bangalore","Karnataka"
"2019100070","560061","Bangalore","Karnataka"
"2019100071","560056","Bangalore","Karnataka"
"2019100072","580031","Bangalore","Karnataka"
"2019100073","561211","Bangalore","Karnataka"
"2019100074","560035","Bangalore","Karnataka"
"2019100075","580029","Bangalore","Karnataka"
"2019100092","560024","Bangalore","Karnataka"
"2019100093","560026","Bangalore","Karnataka"
"2019100094","585105","Bangalore","Karnataka"
"2019100095","560085","Bangalore","Karnataka"
"2019100096","560010","Bangalore","Karnataka"
"2019100097","560098","Bangalore","Karnataka"
"2019100098","560091","Bangalore","Karnataka"
"2019100099","561209","Bangalore","Karnataka"
"2019100100","560078","Bangalore","Karnataka"
"2019100126","561207","Bangalore","Karnataka"
"2019100127","560056","Bangalore","Karnataka"
"2019100128","563133","Bangalore","Karnataka"
"2019100129","560091","Bangalore","Karnataka"
"2019100130","560050","Bangalore","Karnataka"
"2019100468","563101","Bangalore","Karnataka"
"2019100469","560098","Bangalore","Karnataka"
"2019100470","577204","Bangalore","Karnataka"
"2019100471","560019","Bangalore","Karnataka"
"2019100472","560078","Bangalore","Karnataka"
"2019100473","560072","Bangalore","Karnataka"
"2019100474","560058","Bangalore","Karnataka"
"2019100475","573103","Bangalore","Karnataka"
"2019100476","572107","Bangalore","Karnataka"
"2019100477","560078","Bangalore","Karnataka"
"2019100478","560050","Bangalore","Karnataka"
"2019100479","560040","Bangalore","Karnataka"
"2019100480","562105","Bangalore","Karnataka"
"2019100481","573137","Bangalore","Karnataka"
"2019100482","563135","Bangalore","Karnataka"
"2019100483","560050","Bangalore","Karnataka"
"2019100484","577101","Bangalore","Karnataka"
"2019100485","560050","Bangalore","Karnataka"
"2019100486","560050","Bangalore","Karnataka"
"2019100487","560050","Bangalore","Karnataka"
"2019100488","560050","Bangalore","Karnataka"
"2019100489","560056","Bangalore","Karnataka"
"2019100490","560037","Bangalore","Karnataka"
"2019100491","560050","Bangalore","Karnataka"
"2019100492","562112","Bangalore","Karnataka"
"2019100493","560114","Bangalore","Karnataka"
"2019100494","560038","Bangalore","Karnataka"
"2019100499","560091","Bangalore","Karnataka"
"2019100516","572214","Bangalore","Karnataka"
"2019100517","560022","Bangalore","Karnataka"
"2019100518","561205","Bangalore","Karnataka"
"2019100519","560091","Bangalore","Karnataka"
"2019100520","560073","Bangalore","Karnataka"
"2019100521","561207","Bangalore","Karnataka"
"2019100522","561207","Bangalore","Karnataka"
"2019100523","560046","Bangalore","Karnataka"
"2019100524","561207","Bangalore","Karnataka"
"2019100525","560058","Bangalore","Karnataka"
"2019100526","560091","Bangalore","Karnataka"
"2019100527","560058","Bangalore","Karnataka"
"2019100528","560033","Bangalore","Karnataka"
"2019100529","560058","Bangalore","Karnataka"
"2019100530","560018","Bangalore","Karnataka"
"2019100531","560032","Bangalore","Karnataka"
"2019100532","560081","Bangalore","Karnataka"
"2019100533","560029","Bangalore","Karnataka"
"2019100534","560002","Bangalore","Karnataka"
"2019100535","560102","Bangalore","Karnataka"
"2019100536","560068","Bangalore","Karnataka"
"2019100537","560091","Bangalore","Karnataka"
"2019100538","562122","Bangalore","Karnataka"
"2019100539","562123","Bangalore","Karnataka"
"2019100540","562130","Bangalore","Karnataka"
"2019100541","562123","Bangalore","Karnataka"
"2019100542","560057","Bangalore","Karnataka"
"2019100543","562107","Bangalore","Karnataka"
"2019100544","560008","Bangalore","Karnataka"
"2019100545","562106","Bangalore","Karnataka"
"2019100546","560040","Bangalore","Karnataka"
"2019100547","562103","Bangalore","Karnataka"
"2019100548","560019","Bangalore","Karnataka"
"2019100549","562125","Bangalore","Karnataka"
"2019100550","563125","Bangalore","Karnataka"
"2019100551","561228","Bangalore","Karnataka"
"2019100552","561208","Bangalore","Karnataka"
"2019100553","561208","Bangalore","Karnataka"
"2019100554","561208","Bangalore","Karnataka"
"2019100555","561207","Bangalore","Karnataka"
"2019100556","562101","Bangalore","Karnataka"
"2019100557","560010","Bangalore","Karnataka"
"2019100558","577218","Bangalore","Karnataka"
"2019100559","583119","Bangalore","Karnataka"
"2019100560","560032","Bangalore","Karnataka"
"2019100561","586104","Bangalore","Karnataka"
"2019100562","580008","Bangalore","Karnataka"
"2019100563","591305","Bangalore","Karnataka"
"2019100564","560058","Bangalore","Karnataka"
"2019100565","562101","Bangalore","Karnataka"
"2019100566","560008","Bangalore","Karnataka"
"2019100567","560085","Bangalore","Karnataka"
"2019100568","560037","Bangalore","Karnataka"
"2019100569","560047","Bangalore","Karnataka"
"2019100570","562106","Bangalore","Karnataka"
"2019100571","562125","Bangalore","Karnataka"
"2019100572","560001","Bangalore","Karnataka"
"2019100573","560099","Bangalore","Karnataka"
"2019100574","562107","Bangalore","Karnataka"
"2019100575","585218","Bangalore","Karnataka"
"2019100576","560008","Bangalore","Karnataka"
"2019100577","560072","Bangalore","Karnataka"
"2019100578","562114","Bangalore","Karnataka"
"2019100579","560011","Bangalore","Karnataka"
"2019100580","560050","Bangalore","Karnataka"
"2019100581","560003","Bangalore","Karnataka"
"2019100582","560102","Bangalore","Karnataka"
"2019100583","560079","Bangalore","Karnataka"
"2019100584","561207","Bangalore","Karnataka"
"2019100585","591236","Bangalore","Karnataka"
"2019100586","560029","Bangalore","Karnataka"
"2019100587","561209","Bangalore","Karnataka"
"2019100588","562106","Bangalore","Karnataka"
"2019100589","560023","Bangalore","Karnataka"
"2019100590","562107","Bangalore","Karnataka"
"2019100591","560091","Bangalore","Karnataka"
"2019100592","560070","Bangalore","Karnataka"
"2019100593","560040","Bangalore","Karnataka"
"2019100594","563135","Bangalore","Karnataka"
"2019100595","585328","Bangalore","Karnataka"
"2019100596","562101","Bangalore","Karnataka"
"2019100597","561207","Bangalore","Karnataka"
"2019100598","561209","Bangalore","Karnataka"
"2019100599","560064","Bangalore","Karnataka"
"2019100600","563135","Bangalore","Karnataka"
"2019100601","563125","Bangalore","Karnataka"
"2019100602","560045","Bangalore","Karnataka"
"2019100603","560026","Bangalore","Karnataka"
"2019100604","572226","Tumkur","Karnataka"
"2019100605","562105","Chikkaballapur","Karnataka"
"2019100606","560091","Bangalore","Karnataka"
"2019100607","562120","Ramanagara","Karnataka"
"2019100608","562159","Ramanagara","Karnataka"
"2019100609","560056","Bangalore","Karnataka"
"2019100610","560096","Bangalore","Karnataka"
"2019100611","560047","Bangalore","Karnataka"
"2019100613","583236","Koppal","Karnataka"
"2019100614","581329","Uttara Kannada","Karnataka"
"2019100615","560058","Bangalore","Karnataka"
"2019100616","560091","Bangalore","Karnataka"
"2019100617","562132","Bengaluru Rural","Karnataka"
"2019100618","561101","Ramanagara","Karnataka"
"2019100619","572121","Tumkur","Karnataka"
"2019100620","560022","Bangalore","Karnataka"
"2019100621","560026","Bangalore","Karnataka"
"2019100622","562123","Bengaluru Rural","Karnataka"
"2019100623","562123","Bengaluru Rural","Karnataka"
"2019100624","562127","Bangalore","Karnataka"
"2019100625","562132","Bengaluru Rural","Karnataka"
"2019100626","562123","Bangalore","Karnataka"
"2019100627","562103","Bangalore","Karnataka"
"2019100628","560096","Bangalore","Karnataka"
"2019100629","560091","Bangalore","Karnataka"
"2019100630","560096","Bangalore","Karnataka"
"2019100631","560091","Bangalore","Karnataka"
"2019100632","563121","Kolar","Karnataka"
"2019100633","562130","Bangalore","Karnataka"
"2019100634","560026","Bangalore","Karnataka"
"2019100635","570007","Mysore","Karnataka"
"2019100636","562123","Bangalore","Karnataka"
"2019100637","561205","Bengaluru Rural","Karnataka"
"2019100638","571617","Mysore","Karnataka"
"2019100639","561207","Chikkaballapur","Karnataka"
"2019100640","560060","Bangalore","Karnataka"
"2019100641","560027","Bangalore","Karnataka"
"2019100642","560068","Bangalore","Karnataka"
"2019100643","560097","Bangalore","Karnataka"
"2019100644","581115","Haveri","Karnataka"
"2019100645","577547","Chickamagaluru ","Karnataka"
"2019100646","560061","Bangalore","Karnataka"
"2019100647","560027","Bangalore","Karnataka"
"2019100648","560041","Bangalore","Karnataka"
"2019100649","560069","Bangalore","Karnataka"
"2019100650","560030","Bangalore","Karnataka"
"2019100651","571104","Mysore","Karnataka"
"2019100652","580001","Dharwad","Karnataka"
"2019100653","560068","Bangalore","Karnataka"
"2019100654","563122","Kolar","Karnataka"
"2019100655","582209","Gadag","Karnataka"
"2019100656","560095","Bangalore","Karnataka"
"2019100657","585103","Kalaburagi","Karnataka"
